,Names,Series_Amount,Series_Date,Series_Type
770,PubNub,"$4,500,000","Mar 21, 2012",Series_A
772,Kissmetrics,"$2,800,000","Jul 28, 2009",Series_A
773,Lastline,"$900,000","Apr 11, 2013",Series_A
774,Chumby-Industries,"$5,000,000","Dec  1, 2006",Series_A
775,Swipely,"$7,500,000","May  1, 2010",Series_A
777,Clicksquared,"$36,700,000","Sep  5, 2007",Series_A
778,Dynamic-Signal,"$8,000,000","Feb 17, 2011",Series_A
779,Accedian-Networks,"$4,000,000","Mar  9, 2006",Series_A
780,NonProfitEasy,"$550,000","Sep 26, 2012",Series_A
783,Zecco,"$6,000,000","Nov 28, 2006",Series_A
786,Artspace,"$2,500,000","Jan 31, 2012",Series_A
787,Natrix-Separations,"$1,700,000","Sep 26, 2005",Series_A
788,Decide,"$2,500,000","Jan  1, 2010",Series_A
790,EyeEm,"$5,000,000","Jul 17, 2013",Series_A
791,OutSmart-Power-Systems,"$3,600,000","Oct  9, 2013",Series_A
794,Boxee,"$4,000,000","Nov 18, 2008",Series_A
795,Sermo,"$3,000,000","Sep  1, 2006",Series_A
797,Hightower,"$6,500,000","Aug 21, 2014",Series_A
799,Cloud-Sherpas,"$1,600,000","Nov  3, 2010",Series_A
800,Convey-Computer,"$16,000,000","Jul 30, 2007",Series_A
802,SkyGrid,"$2,250,000","Jan  1, 2006",Series_A
803,Experience-Project,"$900,000","Feb  1, 2008",Series_A
804,VoxPop-Network,"$2,000,000","May  1, 2007",Series_A
805,BranchOut,"$6,000,000","Sep  9, 2010",Series_A
806,WiserTogether,"$3,000,000","Oct 17, 2011",Series_A
807,LabNow,"$14,000,000","Sep 29, 2004",Series_A
808,OurStage,"$17,000,000","Apr  3, 2008",Series_A
809,AdReady,"$2,000,000","Jul 28, 2007",Series_A
813,DataSift,"$6,000,000","Jul 11, 2011",Series_A
818,Loggly,"$9,870,000","May 19, 2012",Series_A
819,Jumio,"$6,500,000","Mar 17, 2011",Series_A
820,Axial-Biotech,"$4,099,999","Mar  1, 2005",Series_A
822,SkyCell-AG,"$3,500,000","Apr 25, 2014",Series_A
825,Profitably,"$1,100,000","Mar 18, 2011",Series_A
827,Librato,"$3,800,000","Jul 25, 2013",Series_A
828,Living-Proof,"$7,000,000","Aug 25, 2008",Series_A
829,Nomadesk,"$4,000,000","Mar 23, 2007",Series_A
834,myhomemove,"$2,500,000","Nov 24, 2005",Series_A
836,Metamarkets,"$6,000,000","May 31, 2011",Series_A
839,Moogsoft,"$7,000,000","May 29, 2013",Series_A
840,Altius-Education,"$8,000,000","Sep 23, 2009",Series_A
841,Retailigence,"$2,600,000","Sep  1, 2011",Series_A
846,Blue-Apron,"$3,000,000","Feb 19, 2013",Series_A
847,Kaazing,"$1,000,000","Apr 29, 2008",Series_A
849,Pudding-Media,"$8,000,000","Jan  1, 2008",Series_A
851,Intelliworks,"$6,000,000","Feb 14, 2005",Series_A
858,SpaceClaim,"$7,500,000","Oct 14, 2005",Series_A
860,HX-Diagnostics,"$3,100,000","Feb 17, 2009",Series_A
864,Resolve-Therapeutics,"$2,000,000","May 17, 2011",Series_A
867,UCloud-Information-Technology,"$10,000,000","Nov 27, 2013",Series_A
874,Magnetic,"$4,000,000","Jun 16, 2010",Series_A
